"SOURSE","Context","Translation"
"Back To The Dojo","","Повернення в Додзьо"
"","",""
"Aaaand write!","","Ііііі пишіть!"
"Writing time.","","Час писати."
"Begin writing.","","Починайте писати."
"Now write.","","Тепер пишіть."
"Write something.","","Напишіть щось."
"Start writing.","","Починайте написання."
"Make some words.","","Make some words."
"","",""
"And don’t give into pride. Use a suggestion if you need it.","","І не сильно гоноруйте. Користуйтеся пропозиціями, якщо вони вам потрібні."
"And don\'t let hubris consume you. Use a suggestion if you need one.","","And don\'t let hubris consume you. Use a suggestion if you need one."
"And don\'t forget that suggestion button if you\'re stumped.","","І не забувайте про кнопку пропозицій, якщо ви застрягли."
"And there\'s no shame in hitting the suggestion button if you need it.","","And there\'s no shame in hitting the suggestion button if you need it."
"And use a suggestion if you need one. Accepting your limitations is a part of life.","","And use a suggestion if you need one. Accepting your limitations is a part of life."
"","",""
"Training Grounds","","Training Grounds"
"","",""
"The time is nigh!","","The time is nigh!"
"The moment has come!","","Ця мить настала!"
"I can wait no longer!","","Я не можу більше чекати!"
"All is ready!","","Всі готові!"
"Our combatants are ready!","","Наші бійці готові!"
"The battlefield calls!","","Арена кличе!"
"Time for action!","","Time for action!"
"Brace yourselves!","","Brace yourselves!"
"I hope you\'re ready!","","Я сподіваюся, що ви готові!"
"Buckle up, everyone!","","Buckle up, everyone!"
"","",""
"Last chance to be clever.","","Останній шанс проявити кмітливість."
"Make me proud.","","Зробіть мене гордим за вас."
"Don\'t let me down.","","Don\'t let me down."
"Hey, try not to screw this up, okay?","","Гей, спробуй не облажатися з цим, окей?"
"Make them count.","","Make them count."
"Think outside the box!","","Think outside the box!"
"Break out that killer material you\'ve been sitting on, probably.","","Break out that killer material you\'ve been sitting on, probably."
"I want you to know: I believe in you.","","Я хочу, щоб ви знали: я вірю в вас."
"Really put your back into it.","","Really put your back into it."
"Mind like water... and...","","Mind like water... and..."
"","",""
"You show promise. Most of you.","","Виглядаєте перспективно. Більшість із вас."
"Hmm yes, I think we can work with these.","","Hmm yes, I think we can work with these."
"Challenge complete!","","Challenge complete!"
"Gooooood goood. Pretty good.","","До-о-обре, до-о-обре. Дуже добре."
"I love to watch true masters at work.","","I love to watch true masters at work."
"","",""
"Fight!","","Fight!"
"Go ahead and Fight already!","","Go ahead and Fight already!"
"Fight each other!","","Fight each other!"
"Fight for me babies, Fight!","","Fight for me babies, Fight!"
"I want you to Fight!","","I want you to Fight!"
"Attack!","","В атаку!"
"Battle!","","Battle!"
"Engage one another in violence!","","Engage one another in violence!"
"Engage in an altercation!","","Engage in an altercation!"
"Bake! I mean, uh, Fight!","","Bake! I mean, uh, Fight!"
"","",""
"My bloodlust is sated. And I finally have something to wear to my cousin’s wedding.","","My bloodlust is sated. And I finally have something to wear to my cousin’s wedding."
"Another tournament comes to a close. (sighs) Am I getting old?","","Another tournament comes to a close. (sighs) Am I getting old?"
"You have all fought well, but the one true winner has emerged.","","You have all fought well, but the one true winner has emerged."
"That. Was so. Exciting. I gotta take a nap.","","That. Was so. Exciting. I gotta take a nap."
"I think we have the centerpiece for my fall line!","","I think we have the centerpiece for my fall line!"
"There\'s something I\'d be proud to cover my torso with.","","There\'s something I\'d be proud to cover my torso with."
"Finally a go-to shirt for date night. Look out, ladies!","","Finally a go-to shirt for date night. Look out, ladies!"
"I hope that\'s 100% cotton. Because it is 100% awesome.","","I hope that\'s 100% cotton. Because it is 100% awesome."
"I found my new favorite shirt. Oh I can\'t wait for it to be vintage!","","I found my new favorite shirt. Oh I can\'t wait for it to be vintage!"
"I\'m glad I could see you all compete in this Tournament before I died. Now if one of you would just give me some grandchildren...","","I\'m glad I could see you all compete in this Tournament before I died. Now if one of you would just give me some grandchildren..."
"I think we all learned a lot here today. About t-shirts and about ourselves. I love you guys.","","I think we all learned a lot here today. About t-shirts and about ourselves. I love you guys."
"I guess that\'s it for the Tournament so I\'ll catch you guys later. Unless you\'re doing something after this? No? Okay cool cool. Alright. Bye!","","I guess that\'s it for the Tournament so I\'ll catch you guys later. Unless you\'re doing something after this? No? Okay cool cool. Alright. Bye!"
"We\'ve determined the world\'s finest t-shirt. Now we just need the pants to go with it. Heeeeere we go again!","","We\'ve determined the world\'s finest t-shirt. Now we just need the pants to go with it. Heeeeere we go again!"
"My work here is done. But if you ever need me, you know what to do. Play the game again is what I mean.","","My work here is done. But if you ever need me, you know what to do. Play the game again is what I mean."
"As Tournaments go, that was UP THERE. Did anyone tape that? Get me a copy, okay? I\'ll give you a blank VHS.","","As Tournaments go, that was UP THERE. Did anyone tape that? Get me a copy, okay? I\'ll give you a blank VHS."
"It\'s shirts like this one that remind why I do what I do. It\'s because of the cool shirts.","","It\'s shirts like this one that remind why I do what I do. It\'s because of the cool shirts."
"The spirits of T-Shirt Island have been satisfied! And believe me, they\'re real jerks when they get cranky so thanks a TON.","","The spirits of T-Shirt Island have been satisfied! And believe me, they\'re real jerks when they get cranky so thanks a TON."
"Boy, that was fun you guys! We should do this more often.","","Boy, that was fun you guys! We should do this more often."
"Looks like everything worked out. But there\'s one question left unsolved: Who was running the Tournament??? Oh wait, no, it was me. Nevermind!","","Looks like everything worked out. But there\'s one question left unsolved: Who was running the Tournament??? Oh wait, no, it was me. Nevermind!"
"Another successful Tournament in the books. Are you guys going to the after-party? Yeah me neither. Yeah, it\'s lame right? (weak chuckle) Parties are lame.","","Another successful Tournament in the books. Are you guys going to the after-party? Yeah me neither. Yeah, it\'s lame right? (weak chuckle) Parties are lame."
"","",""
"Winner!","","Winner!"
"Well if it isn\'t a Winner!","","Well if it isn\'t a Winner!"
"Haha! A Winner!","","Haha! A Winner!"
"Haha, Winner!","","Haha, Winner!"
"","",""
"Well done.","","Well done."
"Perfect.","","Perfect."
"Fantastic.","","Fantastic."
"Good.","","Good."
"Excellent.","","Excellent."
"Oh my, yes.","","Oh my, yes."
"Nicely done.","","Nicely done."
"Oh, very clever.","","Oh, very clever."
"Lovely.","","Lovely."
